"","DataTableID","Species_corrected","Species_reported","Sub_species","IUCN_id","Citation_key","Spatial_locality","Temporal_locality","Locality_name","Singular_country","Multiple_countries","Wider_population","Locality_area","Locality_area_units","Study_year_start","Study_year_end","Field_method","Modelling_method","Population_metric","Density_scale","Population_start","PS_dispersion_estimate","PS_dispersion_lower","PS_dispersion_upper","Population_end","PE_dispersion_estimate","PE_dispersion_lower","PE_dispersion_upper","PS_PE_dispersion_description","Quantitative_trend","Quantitative_method","Other_quantitative_descriptor","Dispersion_description","Dispersion_estimate","Dispersion_lower","Dispersion_upper","Significance_reported","Test_statistic","Significance","Significant_trend","Time_lapse","Qualitative","N_observations","PopulationTrend","TrendVariance","Other_driver_of_trend","Comment","Possible_issues","Genetic_data","Harvest_data","Invasive_species","Record_labelled_inaccurate","Asymptotic_growth","Metric_unusual","Peer_review","Date_missing","Coordinate_comment","Latitude","Longitude","Source","LPD_link","LPD_citation"
"1","10","Puma concolor","Puma concolor",NA,18868,"AndersonJr2005179",1,1,"Snowy Range, Wyoming","United States",NA,NA,2760,"km2",1997,2003,"Individuals identified","Model derived abundance/density","Abundance",NA,58,NA,36,81,59,NA,42,76,"90% CI",NA,"Manual calculation required",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Varied: both declines and recoveries present",5,-0.00179910211375475,0.00887781987070362,NA,"There is discussion of another population (Laramie), but no mention of its population trend",NA,NA,NA,NA,NA,NA,NA,1,NA,"Not checked - Record appears robust",41.3222487,-106.172769,"Georeferenced - automatically",NA,NA
"2","13","Ursus arctos","Ursus arctos",NA,41688,"ISI000365645600003",1,1,"Finland","Finland",NA,NA,NA,NA,1865,1875,"Unsystematic - direct observations","Model derived abundance/density","Abundance",NA,901.3,NA,NA,NA,956.9,NA,NA,NA,NA,NA,"Manual calculation required",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Stable",2,0.00592501347425044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Not checked - Record appears robust",63.9102958,25.0120168,"Georeferenced - automatically",NA,NA
"3","19","Ursus arctos","Ursus arctos",NA,41688,"ISI000365645600003",1,2,"Finland","Finland",NA,NA,NA,NA,1876,1905,"Unsystematic - direct observations","Model derived abundance/density","Abundance",NA,956.9,NA,NA,NA,327,NA,NA,NA,NA,NA,"Manual calculation required",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Decrease",4,-0.0348967131163823,1.47158144286814e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Not checked - Record appears robust",63.9102958,25.0120168,"Georeferenced - automatically",NA,NA
"4","20","Ursus arctos","Ursus arctos",NA,41688,"ISI000365645600003",1,3,"Finland","Finland",NA,NA,NA,NA,1905,1915,"Unsystematic - direct observations","Model derived abundance/density","Abundance",NA,327,NA,NA,NA,129,NA,43,387,"Range",NA,"Manual calculation required",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Decrease",2,-0.0915065213712428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Not checked - Record appears robust",63.9102958,25.0120168,"Georeferenced - automatically",NA,NA
"5","964","Vulpes macrotis","Vulpes macrotis","mutica",41587,"Rails1997",1,1,"Bakersfield","United States",NA,"San Joaquin Valley",NA,NA,1970,1994,"Systematic - direct observations","Field values",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qualitative only",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Stable",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Not checked - Record appears robust",35.6425105,-86.9871783,"Georeferenced - automatically",NA,NA
"6","965","Panthera tigris","Panthera tigris",NA,15955,"Aranth2006",1,1,"Nagarahole Reserve","India",NA,"Karnataka",231,"km2",1996,2000,"Individuals identified","Model derived abundance/density","Abundance",NA,27,1.4,NA,NA,30,2.1,NA,NA,"SE",1.03,"Lambda",NA,"SE",0.02,NA,NA,NA,NA,NA,FALSE,1,"Increase",4,0.0295588022415444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Not checked - Record appears robust",12.0022395,76.2029336,"Georeferenced - automatically",11052," Karanth, K. U., J. D. Nichols, et al. (2006). Assessing tiger population dynamics using photographic capture-recapture sampling."" Ecology (Washington D C) 87(11): 2925-2937."""
"7","966","Vulpes vulpes","Vulpes vulpes",NA,23062,"Helldin2006657",1,1,"Grimso Wildlife Research Area","Sweden",NA,"Grimso",140,"km2",1995,2004,"Individuals identified","Field values",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.08,"R trend",NA,"SE",0.04,NA,NA,NA,NA,NA,FALSE,1,"Stable",9,-0.08,NA,NA,"Population density also measured by an index based on number of Vulpes vulpes litters assessed as number of active dens found during annual den checks. (linear regssion: -0.11, SE±0.02, p=0.003)","Population density also measured by an index based on number of Vulpes vulpes litters assessed as number of active dens found during annual den checks. (linear regssion: -0.11, SE±0.02, p=0.003)",NA,NA,NA,NA,NA,1,1,NA,NA,59.66666667,15.5,"Within study - reported centroid",NA,NA
"8","967","Puma concolor","Puma concolor",NA,18868,"Logan2001",1,1,"Reference Area - San Andres Mountains, New Mexico","United States",NA,NA,NA,NA,1989,1995,"Undefined","Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,"R trend",NA,"SE",0.02,NA,NA,NA,NA,NA,FALSE,1,"Increase",7,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Not checked - Record appears robust",33.08091,-106.64695,"Georeferenced - automatically",NA,NA
"9","968","Puma concolor","Puma concolor",NA,18868,"Logan2001",1,1,"Treatment Area - San Andres, New Mexico","United States",NA,NA,NA,NA,1988,1991,"Undefined","Undefined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,"R trend",NA,"SE",0.04,NA,NA,NA,NA,NA,FALSE,1,"Increase",3,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Not checked - Record appears robust",35.631527,-105.974179,"Georeferenced - automatically",NA,NA
"10","969","Panthera tigris","Panthera tigris",NA,15955,"Majumder2017",1,1,"Pench Tiger Reserve","India",NA,"Madhya Pradesh",274.4,"km2",2008,2013,"Individuals identified","Model derived abundance/density","Density","100km2",22.1,4.4,NA,NA,25.9,2.6,NA,NA,"SE",1.15,"Lambda",NA,"SE",0.11,NA,NA,NA,NA,NA,FALSE,1,"Increase",6,0.139761942375159,NA,NA,"First sampling period exlcuded as it is based on a dffierent area, so starting year = 2008",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,21.78333333,79.39166667,"Within study - calculted centroid",NA,NA
