DataTableID,Code,Direction,Measured,Key_driver,Comment
1750,13.1.1 (Legal hunting of carnivore),Negative,Not explained,No,
1757,2.1 (Habitat altered for farming),Negative,Not explained,No,
1757,1.1 (Habitat urbanised),Negative,Not explained,No,
1819,13.1.1 (Legal hunting of carnivore),Negative,Not explained,No,
1042,13.1.1 (Legal hunting of carnivore),Negative,Proxy-estimate,No,
1041,13.1.1 (Legal hunting of carnivore),Negative,Proxy-estimate,No,
1095,13.1.1 (Legal hunting of carnivore),Negative,Proxy-estimate,No,
1001,13.1.1 (Legal hunting of carnivore),Negative,Proxy-estimate,No,
976,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Proxy-estimate,No,
1070,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Proxy-estimate,No,
1070,8.7 (Population effected by general disease),Negative,Proxy-estimate,No,
969,0.2 (General fragmentation),Negative,Proxy-estimate,No,
975,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Proxy-estimate,No,
1068,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Proxy-estimate,No,
1689,15.5.2 (Low connectivity - Inbreeding possible),Negative,Proxy-estimate,No,
1701,15.5.5 (No connectivity - Inbreeding possible),Negative,Proxy-estimate,No,
1703,13.1.1 (Legal hunting of carnivore),Negative,Proxy-estimate,No,
1716,13.1.1 (Legal hunting of carnivore),Negative,Proxy-estimate,No,
1757,13.1.1 (Legal hunting of carnivore),Negative,Proxy-estimate,No,
1761,9.2 (Population/Habitat effected by industrial waste),Negative,Proxy-estimate,No,
1766,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Proxy-estimate,No,
1766,14.1.2 (Indirect effect from illegal hunting/poaching),Negative,Proxy-estimate,No,
1795,15.1.6 (Low prey availability),Negative,Proxy-estimate,No,
1801,13.1.3 (Legal persecution/control of carnivore),Negative,Proxy-estimate,No,
1800,13.1.3 (Legal persecution/control of carnivore),Negative,Proxy-estimate,No,
1798,13.1.3 (Legal persecution/control of carnivore),Negative,Proxy-estimate,No,
1880,4.1.2 (Vehicle collisions),Negative,Proxy-estimate,No,
1880,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Proxy-estimate,No,
1885,13.1.1 (Legal hunting of carnivore),Negative,Proxy-estimate,No,
1886,13.1.3 (Legal persecution/control of carnivore),Negative,Proxy-estimate,No,
1886,13.1.1 (Legal hunting of carnivore),Negative,Proxy-estimate,No,
1887,13.1.3 (Legal persecution/control of carnivore),Negative,Proxy-estimate,No,
1887,13.1.1 (Legal hunting of carnivore),Negative,Proxy-estimate,No,
1888,13.1.3 (Legal persecution/control of carnivore),Negative,Proxy-estimate,No,
1888,13.1.1 (Legal hunting of carnivore),Negative,Proxy-estimate,No,
1920,15.5.3 (Low connectivity - Inbreeding present),Negative,Proxy-estimate,No,
1944,13.1.1 (Legal hunting of carnivore),Negative,Proxy-estimate,No,
1978,13.1.1 (Legal hunting of carnivore),Negative,Proxy-estimate,No,
1977,13.1.1 (Legal hunting of carnivore),Negative,Proxy-estimate,No,
1976,13.1.1 (Legal hunting of carnivore),Negative,Proxy-estimate,No,
1985,13.1.3 (Legal persecution/control of carnivore),Negative,Proxy-estimate,No,
1983,13.1.3 (Legal persecution/control of carnivore),Negative,Proxy-estimate,No,
1982,13.1.3 (Legal persecution/control of carnivore),Negative,Proxy-estimate,No,
1981,13.1.3 (Legal persecution/control of carnivore),Negative,Proxy-estimate,No,
2005,15.1.6 (Low prey availability),Negative,Proxy-estimate,No,
2005,0.1 (habitat altered - not targeted restoration),Negative,Proxy-estimate,No,
2040,8.2 (Population effected by native disease),Negative,Proxy-estimate,No,
2096,13.1.1 (Legal hunting of carnivore),Negative,Proxy-estimate,No,
2096,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Proxy-estimate,No,
2096,14.5.1 (Illegal targeting poison towards carnivore),Negative,Proxy-estimate,No,
2184,13.1.1 (Legal hunting of carnivore),Negative,Proxy-estimate,No,
2220,13.1.1 (Legal hunting of carnivore),Negative,Proxy-estimate,No,
2223,13.1.1 (Legal hunting of carnivore),Negative,Proxy-estimate,No,
2257,15.5.1 (Low connectivity in population),Negative,Proxy-estimate,No,
2257,13.1.3 (Legal persecution/control of carnivore),Negative,Proxy-estimate,No,
1070,7.2 (System altered by water shortage/dams),Negative,Proxy-estimate,No,
1070,15.1 (General competition),Negative,Proxy-estimate,No,
1976,13.1.2 (Indirect effect from legal hunting),Negative,Proxy-estimate,No,
2315,13.1.3 (Legal persecution/control of carnivore),Negative,Proxy-estimate,No,
1016,13.1.1 (Legal hunting of carnivore),Negative,Quantified,No,
1991,13.1.1 (Legal hunting of carnivore),Negative,Quantified,No,
964,1.1 (Habitat urbanised),Negative,Speculated,No,Development of buildings etc
1038,1.1 (Habitat urbanised),Negative,Speculated,No,
1038,1.2 (Habitat industrialised),Negative,Speculated,No,
1038,2.3.3 (Habitat altered for large-scale ranching),Negative,Speculated,No,
982,4.1.2 (Vehicle collisions),Negative,Speculated,No,
1019,4.1.2 (Vehicle collisions),Negative,Speculated,No,
981,4.1.2 (Vehicle collisions),Negative,Speculated,No,
970,4.1.2 (Vehicle collisions),Negative,Speculated,No,
1104,13.1.1 (Legal hunting of carnivore),Negative,Speculated,No,
1047,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
1588,14.1.1 (Illegal hunting of carnivore/poaching),Negative,Speculated,No,
