Year,Title,Citation_key,Category,From_Syst/Unsyst_search,Comment
2011,Induced changes in island fox (Urocyon littoralis) activity do not mitigate the extinction threat posed by a novel predator,Hudgens2011699,Read - Data available,3,Sourced from within vandeKerk2013
2010,Climate change threatens polar bear populations: a stochastic demographic analysis,Hunter2010,Read - Data available,3,Sourced from within vandeKerk2013
1995,An investigation into the health status and diseases of wild dogs (Lycaon pictus) in the Kruger National Park,VanHeerden1995,Read - Data available,3,Sourced from within Murray1999241
1994,"African wild dogs (Lycaon pictus) endangered by a canine distemper epizootic among domestic dogs near the Masai Mara National Reserve, Kenya",Alexander1994,Read - No Data available,3,Sourced from within Murray1999241
2009,Incorporating ecological drivers and uncertainty into a demographic population viability analysis for the island fox,Bakker2009,Read - No Data available,3,Sourced from within vandeKerk2013 - Data captured and asymptotic growth
1978,Rabies: decimation of a wolf pack in Arctic Alaska,Chapman1978,Read - No Data available,3,Sourced from within Murray1999241
2003,Which future for the French Pyrenean brown bear (Ursus arctos) population? An approach using stagestructured deterministic and stochastic models,Chapron2003,Read - No Data available,3,Sourced from within vandeKerk2013 - Simulation
2003,Conservation and control strategies for the wolf (Canis lupus) in western Europe based on demographic models,Chapron2003575,Read - No Data available,3,Sourced from within vandeKerk2013 - Simulation
1995,The effects of anthrax on endangered wild dogs (Lycaon pictus),Creel1995,Read - No Data available,3,Sourced from within Murray1999241
1992,"Diseases, parasites and survival of coyotes in south-central Georgia",Holzman1992,Read - No Data available,3,Sourced from within Murray1999241
2001,Using logistic regression to analyze the sensitivity of PVA models: a comparison of methods based on African wild dog models,ISI000171501100017,Read - No Data available,3,Sourced from within vandeKerk2013 - Simulation
1994,Serologic investigations of canine parvovirus and canine distemper in relation to wolf (Canis lupus) pup mortalities,Johnson1994,Read - No Data available,3,Sourced from within Murray1999241
1996,Rabies and African wild dogs in Kenya,Kat1996,Read - No Data available,3,Sourced from within Murray1999241
1996,A canine distemper virus epidemic in Serengeti lions (Panthera leo),Roelke1996,Read - No Data available,3,Sourced from within Murray1999241 - Data already captured
1994,Rabies in wolves of the Great Lakes Region,Theberge1994,Read - No Data available,3,Sourced from within Murray1999241
1991,"Anthrax in wildlife in the Luangwa Valley, Zambia",Turnbull1991,Read - No Data available,3,Sourced from within Murray1999241
1995,Occurrence of rabies in a wolf population in northeastern Alaska,Weiler1995,Read - No Data available,3,Sourced from within Murray1999241
2002,Minimum viable population and reserve sizes for naturally regulated grizzly bears in British Columbia,Wielgus2002,Read - No Data available,3,Sourced from within vandeKerk2013 - Simulation
1993,"Aspect of rabies infection and control in the conservation of the African wild dog (Lycaon pictus) in the Serengeti region, Tanzania",Gascoyne1993,NA,3,Sourced from within Murray1999241 - Cant find paper
2001,Improving management strategies for the red fox by using projection matrix analysis,McLeod2001,NA,3,Sourced from within vandeKerk2013 - Cant access paper
1999,Status of carnivores in Biscay (N Iberian peninsula),Aihartza199941,Read - Data available,2,
1986,Past and present status of polar bears in Alaska.,Amstrup1986241,Read - Data available,2,
2005,Experimental evaluation of population trend and harvest composition in a Wyoming cougar population,AndersonJr2005179,Read - Data available,2,
2013,Carnivore conservation in practice: Replicated management actions on a large spatial scale,Angerbjorn201359,Read - Data available,2,
2007,Double allee effects and extinction in the island fox,Angulo20071082,Read - Data available,2,
2016,Are there sufficient prey and protected areas in Nepal to sustain an increasing tiger population?,Aryal2016117,Read - Data available,2,
2006,"Genetic diversity, population structure, effective population size and demographic history of the Finnish wolf population",Aspi20061561,Read - Data available,2,Genetic
2007,"Swift fox reintroductions on the Blackfeet Indian Reservation, Montana, USA",Ausband2007423,Read - Data available,2,
2017,Relationship of acorn mast production to black bear population growth rates and human-bear interactions in Northwestern South Carolina,Azad2017235,Read - Data available,2,Data already captured
2017,Demographic trends of a harvested American black bear population in northwestern South Carolina,Azad201756,Read - Data available,2,
1997,Ecology of wolves in relation to a migratory caribou herd in Northwest Alaska,Ballard19971,Read - Data available,2,
1997,Occurrence of rabies in wolves of Alaska,Ballard1997242,Read - Data available,2,
2005,"Mammal abundance indices in the northern portion of the Great Basin, 1962-1993",Bartel20053130,Read - Data available,2,
2008,Long-term patterns in mammalian abundance in northern portions of the Great Basin,Bartel20081170,Read - Data available,2,
2016,A long-term evaluation of biopsy darts and DNA to estimate cougar density: An agency-citizen science collaboration,Beausoleil2016583,Read - Data available,2,
2012,Inbreeding avoidance influences the viability of reintroduced populations of african wild dogs (lycaon pictus),Becker2012,Read - Data available,2,
2018,Effective implementation of age restrictions increases selectivity of sport hunting of the African lion,Begg2018139,Read - Data available,2,
2016,"Interactions between demography, genetics, and landscape connectivity increase extinction probability for a small population of large carnivores in a major metropolitan area",Benson2016,Read - Data available,2,
1986,Dynamics of caribou and wolves in northern British Columbia.,Bergerud19861515,Read - Data available,2,
1998,Wolf predation in a multiple-ungulate system in northern British Columbia,Bergerud19981551,Read - Data available,2,
2012,What can harvest data tell us about Montana's black bears?,Beston201230,Read - Data available,2,
2016,"Human–wildlife conflict, benefit sharing and the survival of lions in pastoralist community-based conservancies",Blackburn20161195,Read - Data available,2,
1996,"Increases in moose, caribou, and wolves following wolf control in Alaska",Boertje1996474,Read - Data available,2,
2017,Demography of an increasing caribou herd with restricted wolf control,Boertje2017429,Read - Data available,2,
2004,Monitoring of grizzly bear population trends and demography using DNA mark-recapture methods in the Owikeno Lake area of British Columbia,Boulanger20041267,Read - Data available,2,
2014,The impact of roads on the demography of grizzly bears in Alberta,Boulanger2014,Read - Data available,2,
2001,Negative binomial models for abundance estimation of multiple closed populations,Boyce2001498,Read - Data available,2,
2015,"Effects of Wolf removal on livestock depredation recurrence and Wolf recovery in Montana, Idaho, and Wyoming",Bradley20151337,Read - Data available,2,
2007,Brown bear population trends from demographic and monitoring-based estimators,Brodie2007137,Read - Data available,2,
2005,"Long-term analysis of survival, fertility, and population growth rate of black bears in North Carolina",Brongo20051029,Read - Data available,2,
2016,Decline and recovery of a large carnivore: Environmental change and long-term trends in an endangered brown bear population,Cano2016,Read - Data available,2,
2011,"On the merits and feasibility of wildlife monitoring for conservation: A case study from Katavi National Park, Tanzania",Caro2011320,Read - Data available,2,
1998,"Reproductive characteristics of grizzly bears in the Kugluktuk area, northwest territories, Canada",Case199841,Read - Data available,2,
2009,Diagnosing mechanisms of decline and planning for recovery of an endangered brown bear (Ursus arctos) population,Chapron2009,Read - Data available,2,
2016,Blood does not buy goodwill: Allowing culling increases poaching of a large carnivore,Chapron2016,Read - Data available,2,
1992,"The brown bear (Ursus arctos L.) in the USSR: numbers, hunting and systematics",Chestin199257,Read - Data available,2,
2006,Evaluation of cougar population estimators in Utah,Choate2006782,Read - Data available,2,
2007,Effects of sarcoptic mange on coyotes at Wind Cave National Park,Chronert20071987,Read - Data available,2,
2005,"Bait stations, hard mast, and black bear population growth in Great Smoky Mountains National Park",Clark20051633,Read - Data available,2,
2006,"Growth and sustainability of black bears at White River National Wildlife Refuge, Arkansas",Clark20061094,Read - Data available,2,
2010,Effects of exploitation on black bear populations at white river national wildlife refuge,Clark20101448,Read - Data available,2,
2017,No flood effect on recruitment in a Louisiana black bear population,Clark2017,Read - Data available,2,
1996,Sign surveys for estimating trend of a remnant brown bear Ursus arctos population in northern Spain,Clevenger1996275,Read - Data available,2,
2008,The effect of fox control on mammal populations in an outer urban conservation reserve.,Coates200851,Read - Data available,2,Invasive
2011,The decline of lions in Ghana's Mole National Park,ColeBurton2011122,Read - Data available,2,
2002,Panthers and forests in South Florida: An ecological perspective,Comiskey2002,Read - Data available,2,
2009,Source populations in carnivore management: Cougar demography and emigration in a lightly hunted population,Cooley2009321,Read - Data available,2,
1998,Competitive interactions between coyotes and San Joaquin kit foxes,Cypher1998204,Read - Data available,2,
2000,Population dynamics of San Joaquin kit foxes at the Naval Petroleum Reserves in California,Cypher20001,Read - Data available,2,
2015,"The Demography and Dynamics of an Expanding, Managed African Wild Dog Metapopulation",DaviesMostert2015258,Read - Data available,2,
2000,Joint effects of density dependence and rainfall on abundance of San Joaquin kit fox,Dennis2000388,Read - Data available,2,
2012,Severe mammal declines coincide with proliferation of invasive Burmese pythons in Everglades National Park,Dorcas20122418,Read - Data available,2,
2016,Dynamics of a low-density tiger population in Southeast Asia in the context of improved law enforcement,Duangchantrasiri2016639,Read - Data available,2,
2011,"Long-term trends in carnivore abundance using distance sampling in Serengeti National Park, Tanzania",Durant20111490,Read - Data available,2,
1986,Monitoring grizzly bear population trends.,Eberhardt1986613,Read - Data available,2,
1996,How many grizzlies in Yellowstone?,Eberhardt1996416,Read - Data available,2,
1994,The decline of a brown bear Ursus arctos L. population in central South Norway,Elgmork1994123,Read - Data available,2,
2010,"Top predators, mesopredators and their prey: Interference ecosystems along bioclimatic productivity: Gradients",Elmhagen2010785,Read - Data available,2,
2016,Population recovery highlights spatial organization dynamics in adult leopards,Fattebert2016153,Read - Data available,2,
2010,Integrated population modeling of black bears in minnesota: Implications for monitoring and management,Fieberg2010,Read - Data available,2,
2004,"Demographic patterns and limitation of grey wolves, Canis lupus, in and near Pukaskwa National Park, Ontario",Forshner200495,Read - Data available,2,
1999,Ecology of the Patagonia puma Felis concolor patagonica in southern Chile,Franklin199933,Read - Data available,2,
2006,Discerning biases in a large scale mark-recapture population estimate for black bears,Garshelis20061634,Read - Data available,2,
1983,"Interrelationships of wolves, prey, and man in interior Alaska.",Gasaway1983,Read - Data available,2,
2017,Estimating survival in the Apennine brown bear accounting for uncertainty in age classification,Gervasi2017119,Read - Data available,2,
1995,Local extinction in a small and declining population: Wild dogs in the Serengeti,Ginsberg1995221,Read - Data available,2,
2001,The rise of urban fox populations in Switzerland,Gloor2001155,Read - Data available,2,
1998,"A summary of bear management in glacier national park, Montana, 1960-1994",Gniadek1998155,Read - Data available,2,
2014,"Consequences of a refuge for the predator-prey dynamics of a wolf-elk system in Banff National Park, Alberta, Canada",Goldberg2014,Read - Data available,2,
1996,The Mednyi arctic foxes: Treating a population imperilled by disease,Goltsman1996251,Read - Data available,2,
2010,"Evaluating the status of the Endangered tiger Panthera tigris and its prey in Panna Tiger Reserve, Madhya Pradesh, India",Gopal2010383,Read - Data available,2,
2014,The relative importance of direct and indirect effects of hunting mortality on the population dynamics of brown bears,Gosselin2014,Read - Data available,2,
2012,Wolf population dynamics in the U.S. Northern Rocky Mountains are affected by recruitment and human-caused mortality,Gude2012108,Read - Data available,2,
2001,Evaluating the effectiveness of predator control: The non-native red fox as a case study,Harding20011114,Read - Data available,2,
2007,Population growth of Yellowstone grizzly bears: Uncertainty and future monitoring,Harris2007168,Read - Data available,2,
2000,Demography of a recovering wolf population in the Yukon,Hayes200036,Read - Data available,2,
2003,"Black bear (Ursus americanus) survival and demography in the Bow Valley of Banff National Park, Alberta",Hebblewhite2003415,Read - Data available,2,
