,DataTableID,Value,Year
1,10,58,1997
2,10,39,1998
3,10,34,1999
4,10,37,2000
5,10,59,2001
6,13,901.3,1865
7,13,956.9,1875
11,19,956.9,1876
8,19,747,1886
9,19,537,1896
10,19,327,1906
12,20,327,1905
13,20,129,1915
14,979,17,1983
15,979,20,1984
16,979,23,1985
17,979,20,1986
18,979,20,1987
19,979,20,1988
20,979,20,1989
21,979,0,1990
22,979,2,1991
23,979,7,1992
24,979,11,1993
25,979,16,1994
26,979,19,1995
27,979,22,1996
28,979,25,1997
29,979,24,1998
30,979,21,1999
31,979,22,2000
32,979,21,2001
33,979,25,2002
34,979,27,2003
35,979,29,2004
36,979,28,2005
37,979,42,2006
38,979,56,2007
39,981,6,2006
40,981,4,2008
41,981,13,2010
42,981,14,2011
43,981,15,2014
44,982,5,2009
45,982,8,2010
46,982,14,2011
47,982,14,2012
48,982,13,2013
49,1001,246,2004
50,1001,280,2005
51,1001,310,2006
52,1001,360,2007
53,1001,480,2008
54,1001,522,2009
55,1001,504,2010
56,1001,611,2011
57,1001,614,2012
58,1001,600,2013
59,1001,880,2014
60,1017,19500,1998
61,1017,21800,1999
62,1017,19400,2000
63,1017,24000,2001
64,1017,23500,2002
65,1017,26700,2003
66,1017,27100,2004
67,1017,28400,2005
68,1017,28200,2006
69,1017,33000,2007
70,1017,33300,2008
71,1017,36000,2009
72,1017,35700,2010
73,1017,39400,2011
74,1018,14.5,1989
75,1018,15,1990
76,1018,17,1991
77,1018,16.5,1992
78,1018,19,1993
79,1019,2,1996
80,1019,2,1997
81,1019,2,1998
82,1019,3,1999
83,1019,3,2000
84,1019,5,2001
85,1019,5,2002
86,1019,8,2003
87,1019,6,2004
88,1019,9,2005
89,1019,7,2006
90,1019,9,2007
91,1019,8,2008
92,1020,14,1999
93,1020,31,1999.08
94,1020,27,1999.16
95,1020,35,1999.91
96,1020,33,1999.99
97,1020,24,2000.07
98,1020,26,2000.82
99,1020,25,2000.9
100,1020,20,2000.98
101,1058,0.005238979,1996
102,1058,0.004747458,1996.50411
