"","DataTableID","Type_of_measure","Value","Year1","Year2"
"1",1330,"Lambda",0.6,1998,1999
"2",1330,"Lambda",1,1999,2000
"3",1330,"Lambda",1.2,2000,2001
"4",1330,"Lambda",1.7,2001,2002
"5",1455,"Percentage change",87.5,1880,1881
"6",1455,"Percentage change",87.5,1881,1882
"7",1455,"Percentage change",87.5,1882,1883
"8",1455,"Percentage change",87.5,1883,1884
"9",1455,"Percentage change",87.5,1884,1885
"10",1455,"Percentage change",87.5,1885,1886
"11",1455,"Percentage change",87.5,1886,1887
"12",1455,"Percentage change",87.5,1887,1888
"13",1455,"Percentage change",87.5,1888,1889
"14",1691,"Lambda",1.16,2003,2004
"15",1691,"Lambda",1.14,2004,2005
"16",1697,"Lambda",1.43,1987,1988
"17",1697,"Lambda",1.05,1988,1989
"18",1697,"Lambda",0.64,1989,1990
"19",1697,"Lambda",0.62,1990,1991
"20",1745,"Lambda",0.88,1989,1990
"21",1745,"Lambda",0.78,1990,1991
"22",1745,"Lambda",0.83,1991,1992
"23",1745,"Lambda",0.84,1992,1993
"24",1745,"Lambda",0.89,1993,1994
"25",1745,"Lambda",1.16,1994,1995
"26",1745,"Lambda",1.09,1995,1996
"27",1745,"Lambda",1.03,1996,1997
"28",1745,"Lambda",1.05,1997,1998
"29",1745,"Lambda",0.73,1998,1999
"30",1745,"Lambda",0.86,1999,2000
"31",1745,"Lambda",1.02,2000,2001
"32",1745,"Lambda",0.82,2001,2002
"33",1745,"Lambda",1.09,2002,2003
"34",1746,"Lambda",1.1745,1998,1999
"35",1746,"Lambda",1.0665,1999,2000
"36",1746,"Lambda",1.066,2000,2001
"37",1746,"Lambda",0.96,2001,2002
"38",1746,"Lambda",0.9625,2002,2003
"39",1806,"Lambda",0.92,1987,1988
"40",1806,"Lambda",2.07,1988,1989
"41",1806,"Lambda",1.1,1989,1990
"42",1806,"Lambda",1.28,1990,1991
"43",1806,"Lambda",1.5,1991,1992
"44",1806,"Lambda",0.79,1992,1993
"45",1806,"Lambda",0.84,1993,1994
"46",1806,"Lambda",1.17,1994,1995
"47",1806,"Lambda",0.9,1995,1996
"48",1806,"Lambda",1.46,1996,1997
"49",1806,"Lambda",1.28,1997,1998
"50",1806,"Lambda",1.18,1998,1999
"51",1806,"Lambda",1.03,1999,2000
"52",1806,"Lambda",1.13,2000,2001
"53",1806,"Lambda",1.05,2001,2002
"54",1806,"Lambda",1.17,2002,2003
"55",1807,"Lambda",1.01,2005,2006
"56",1807,"Lambda",0.95,2006,2007
"57",1807,"Lambda",0.94,2007,2008
"58",1807,"Lambda",1.02,2008,2009
"59",1807,"Lambda",1,2009,2010
"60",1807,"Lambda",0.97,2010,2011
"61",1807,"Lambda",0.93,2011,2012
"62",1807,"Lambda",1.03,2012,2013
"63",1807,"Lambda",0.79,2013,2014
"64",2323,"Lambda",1.059,2001,2002
"65",2323,"Lambda",1.061,2002,2003
"66",2323,"Lambda",1.036,2003,2004
"67",2323,"Lambda",0.765,2004,2005
"68",2323,"Lambda",0.799,2005,2006
